school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,schoolsup,famsup,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,G1_math,G2_math,G3_math,G1_por,G2_por,G3_por,drop_math,drop_por
GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,mother,2,yes,yes,no,yes,no,4,3,5,1,1,2,7,6,6,11,10,10,0,0
GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,mother,1,no,yes,yes,yes,yes,3,2,2,1,1,5,15,14,15,14,14,14,0,0
GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,mother,1,no,yes,yes,yes,no,5,3,3,1,3,1,13,14,14,15,15,15,0,0
GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes,mother,1,no,no,yes,yes,no,4,5,5,1,3,1,16,17,18,14,13,13,0,0
GP,F,15,U,GT3,T,4,4,services,at_home,course,yes,yes,mother,1,no,yes,yes,yes,yes,4,3,3,1,1,5,11,0,0,13,14,15,1,0
GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,mother,1,yes,yes,no,yes,no,3,3,4,2,3,5,8,10,11,13,12,12,0,0
GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes,father,2,no,no,no,yes,yes,4,4,4,2,3,5,7,9,8,12,11,12,0,0
GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,father,1,yes,yes,yes,yes,no,4,4,4,1,1,3,7,7,7,13,12,12,0,0
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,mother,1,no,yes,no,yes,no,3,3,3,1,2,2,10,8,9,14,14,14,0,0
GP,F,15,U,GT3,T,4,4,teacher,services,course,yes,yes,mother,1,no,yes,yes,yes,no,4,2,2,1,1,5,9,11,11,13,13,13,0,0
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,yes,yes,mother,2,no,no,yes,yes,no,4,3,2,1,1,5,16,16,15,13,14,14,0,0
GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,mother,1,no,no,no,yes,no,5,3,4,4,4,1,10,13,13,13,12,13,0,0
GP,F,15,U,LE3,A,3,4,other,other,home,yes,yes,mother,1,yes,no,yes,yes,yes,5,3,2,1,1,1,7,10,11,10,11,11,0,0
GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,mother,1,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,6,10,11,11,0,0
GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes,mother,1,yes,no,no,yes,no,4,3,2,2,3,3,7,8,10,12,13,12,0,0
GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes,mother,1,no,yes,no,yes,no,4,4,4,1,1,5,7,6,6,12,11,11,0,0
GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,mother,1,no,yes,no,yes,no,4,3,3,1,1,5,11,13,13,16,14,16,0,0
GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,father,1,yes,no,yes,yes,yes,4,4,4,2,4,2,10,10,10,13,12,12,0,0
GP,F,16,R,GT3,T,2,2,services,services,reputation,no,yes,mother,2,no,yes,yes,yes,no,5,3,5,1,1,5,10,10,11,13,13,13,0,0
GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes,father,1,yes,yes,yes,yes,no,4,1,2,1,1,2,7,10,10,11,11,11,0,0
GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,mother,1,no,yes,yes,yes,no,2,4,4,2,3,4,10,11,11,17,16,16,0,0
GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes,mother,1,no,no,yes,yes,yes,5,3,4,1,1,2,8,9,10,12,13,12,0,0
GP,F,16,U,GT3,A,2,2,other,other,reputation,yes,yes,mother,1,yes,yes,no,yes,no,3,3,4,1,1,4,12,13,14,13,13,13,0,0
GP,F,16,U,GT3,A,3,1,services,other,course,yes,yes,mother,1,no,yes,no,yes,no,2,3,3,2,2,4,7,7,7,11,11,12,0,0
GP,F,16,U,GT3,A,3,3,other,other,course,no,yes,other,2,no,yes,yes,yes,yes,4,3,2,1,1,5,4,0,0,9,9,10,1,0
GP,F,16,U,GT3,A,3,4,services,other,course,yes,yes,father,1,no,no,no,yes,no,3,2,1,1,4,5,12,11,11,15,13,14,0,0
GP,F,16,U,GT3,T,1,1,at_home,other,home,yes,no,mother,2,no,yes,no,yes,no,4,3,2,1,4,5,9,9,10,12,13,13,0,0
GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,father,4,yes,yes,yes,yes,yes,5,5,5,5,5,5,10,8,11,10,10,16,0,0
GP,F,16,U,GT3,T,1,3,at_home,services,home,no,yes,mother,1,no,no,yes,yes,yes,4,3,5,1,1,3,8,7,0,14,13,13,1,0
GP,F,16,U,GT3,T,2,1,other,other,course,yes,no,mother,1,no,yes,no,yes,yes,4,3,5,1,1,5,8,9,10,13,12,12,0,0
GP,F,16,U,GT3,T,2,1,other,other,home,yes,yes,mother,1,no,no,no,yes,yes,4,5,2,1,1,5,13,12,12,9,10,10,0,0
GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes,mother,1,yes,no,yes,yes,no,3,1,2,1,1,5,10,13,13,8,10,10,0,0
GP,F,16,U,GT3,T,2,2,other,other,home,no,yes,mother,1,no,yes,no,yes,no,5,1,5,1,1,4,6,7,0,12,12,13,1,0
GP,F,16,U,GT3,T,2,2,other,other,home,yes,yes,mother,1,no,no,no,yes,yes,5,4,4,1,1,5,8,7,8,12,11,11,0,0
GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,no,no,no,yes,yes,5,2,3,1,3,3,11,11,11,13,13,13,0,0
GP,F,16,U,GT3,T,2,2,services,other,reputation,no,yes,mother,2,no,no,yes,yes,no,3,4,4,1,4,5,13,13,11,13,12,14,0,0
GP,F,16,U,GT3,T,2,2,services,services,home,no,yes,mother,1,no,yes,no,yes,no,1,2,2,1,3,5,6,9,8,10,11,12,0,0
GP,F,16,U,GT3,T,2,3,other,other,reputation,yes,no,mother,1,yes,yes,yes,yes,no,4,4,3,1,3,4,8,10,10,11,12,12,0,0
GP,F,16,U,GT3,T,2,3,services,services,course,yes,yes,mother,1,no,no,no,yes,no,4,3,3,1,1,2,11,12,13,12,12,13,0,0
GP,F,16,U,GT3,T,2,3,services,teacher,other,yes,yes,mother,1,yes,no,no,yes,no,2,3,1,1,1,3,16,16,17,13,13,14,0,0
GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,mother,1,yes,yes,no,yes,no,4,3,3,1,2,5,7,7,6,10,9,10,0,0
GP,F,16,U,GT3,T,3,2,other,other,reputation,yes,yes,mother,1,no,yes,no,yes,no,1,2,2,1,2,1,12,13,12,14,15,16,0,0
GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,father,1,no,yes,no,yes,no,4,3,2,1,2,5,6,10,10,11,13,13,0,0
GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes,mother,1,no,yes,no,yes,yes,4,3,3,1,3,4,7,7,8,9,11,11,0,0
GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,mother,3,yes,yes,yes,yes,no,5,3,2,1,1,4,8,10,10,13,14,14,0,0
GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,mother,1,yes,yes,yes,yes,no,4,3,3,2,4,5,11,12,11,11,11,11,0,0
GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes,mother,1,no,yes,no,yes,no,2,4,3,1,2,3,5,5,5,12,11,11,0,0
GP,F,16,U,GT3,T,4,2,health,services,home,yes,yes,father,1,no,no,no,yes,yes,4,2,3,1,1,3,14,15,16,17,17,18,0,0
GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,mother,1,no,yes,no,yes,no,4,2,3,1,1,5,15,16,16,16,15,16,0,0
GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes,mother,2,no,yes,yes,yes,no,5,3,3,1,1,1,11,10,10,13,14,14,0,0
GP,F,16,U,GT3,T,4,3,health,other,home,yes,yes,mother,1,no,yes,yes,yes,no,4,3,5,1,5,2,16,16,16,14,14,15,0,0
GP,F,16,U,GT3,T,4,3,other,at_home,course,yes,yes,mother,1,yes,yes,no,yes,no,5,3,5,1,1,3,7,9,8,12,13,13,0,0
GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,mother,1,yes,yes,yes,yes,no,3,4,4,2,4,4,10,9,9,14,13,13,0,0
GP,F,16,U,GT3,T,4,3,teacher,other,other,yes,yes,mother,1,no,no,yes,yes,yes,1,3,2,1,1,1,11,12,13,14,15,15,0,0
GP,F,16,U,GT3,T,4,4,health,health,reputation,yes,yes,mother,1,no,yes,no,yes,yes,4,4,2,1,1,3,14,14,14,16,16,17,0,0
GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,mother,1,no,yes,no,yes,no,4,4,4,1,2,2,14,14,14,17,17,17,0,0
GP,F,16,U,GT3,T,4,4,other,other,reputation,no,yes,mother,1,no,no,yes,yes,no,5,3,4,1,2,1,11,14,14,12,13,13,0,0
GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,mother,1,no,yes,yes,yes,no,3,2,3,1,2,2,13,14,14,13,13,14,0,0
GP,F,16,U,GT3,T,4,4,teacher,services,home,no,yes,mother,1,no,yes,yes,yes,no,5,3,2,1,1,5,13,13,14,15,16,16,0,0
GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,mother,1,no,yes,no,yes,no,2,3,5,1,4,3,11,12,11,13,12,13,0,0
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,yes,yes,mother,1,no,no,no,yes,no,3,4,4,3,3,1,14,14,13,10,11,11,0,0
GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,father,1,yes,no,yes,yes,no,4,4,3,1,1,1,8,10,9,13,13,10,0,0
GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,mother,1,no,yes,no,yes,no,4,3,4,1,2,2,8,7,6,13,11,11,0,0
GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,father,2,yes,no,yes,yes,no,4,3,3,2,2,5,10,10,9,10,11,11,0,0
GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,mother,2,no,yes,yes,yes,yes,3,3,3,1,2,3,7,10,11,11,11,10,0,0
GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,mother,3,no,yes,no,yes,no,4,3,3,2,3,4,12,13,13,14,13,13,0,0
GP,F,16,U,LE3,T,2,4,other,health,course,yes,yes,father,2,no,yes,yes,yes,yes,4,2,2,1,2,5,13,13,13,14,12,13,0,0
GP,F,16,U,LE3,T,3,1,other,other,home,yes,no,father,1,yes,yes,no,yes,no,3,3,3,2,3,2,7,6,6,12,13,12,0,0
GP,F,16,U,LE3,T,3,3,other,other,reputation,yes,yes,mother,2,no,yes,yes,yes,no,4,4,5,1,1,4,10,11,9,14,14,15,0,0
GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,mother,3,no,yes,yes,yes,no,5,4,3,1,2,1,16,15,15,16,15,16,0,0
GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes,mother,1,no,yes,yes,yes,yes,5,4,5,1,1,4,14,15,16,15,15,14,0,0
GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,yes,yes,mother,1,no,yes,no,yes,no,4,5,2,1,2,3,9,9,10,11,10,11,0,0
GP,F,17,R,GT3,A,3,2,other,other,home,yes,yes,mother,1,no,yes,no,yes,no,4,3,3,2,3,2,9,10,10,14,14,16,0,0
GP,F,17,R,GT3,T,2,1,at_home,services,course,yes,no,mother,3,no,no,yes,yes,no,2,1,1,1,1,3,13,11,11,13,13,13,0,0
GP,F,17,R,GT3,T,2,1,at_home,services,reputation,yes,yes,mother,2,no,yes,yes,yes,no,4,2,5,1,2,5,6,6,6,11,10,11,0,0
GP,F,17,R,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,no,yes,no,yes,no,5,3,2,1,2,3,7,6,6,13,13,13,0,0
GP,F,17,R,GT3,T,2,4,at_home,other,course,yes,yes,father,1,no,yes,no,yes,yes,4,4,3,1,1,5,12,14,14,15,15,15,0,0
GP,F,17,R,GT3,T,3,4,at_home,services,course,no,yes,father,1,no,yes,yes,yes,no,4,3,4,2,5,5,11,11,10,15,15,17,0,0
GP,F,17,R,GT3,T,4,3,teacher,other,reputation,yes,yes,mother,2,no,yes,yes,yes,yes,4,4,2,1,1,4,7,7,7,11,12,12,0,0
GP,F,17,R,LE3,T,2,2,services,services,course,yes,yes,mother,1,no,yes,yes,yes,no,3,3,2,2,2,3,11,11,11,11,11,10,0,0
GP,F,17,R,LE3,T,3,1,services,other,reputation,yes,no,mother,2,no,yes,no,yes,no,3,1,2,1,1,3,18,18,18,18,19,19,0,0
GP,F,17,R,LE3,T,4,4,services,other,other,yes,no,mother,1,no,yes,no,yes,no,5,2,1,1,2,3,8,10,10,12,11,11,0,0
GP,F,17,U,GT3,A,2,1,other,other,course,yes,yes,mother,2,no,no,yes,yes,yes,3,2,3,1,2,3,12,10,12,15,15,16,0,0
GP,F,17,U,GT3,A,2,2,at_home,at_home,home,yes,yes,father,1,no,yes,no,yes,yes,3,3,1,1,2,4,9,8,0,10,12,14,1,0
GP,F,17,U,GT3,A,3,3,health,other,reputation,no,yes,mother,1,no,yes,no,yes,yes,3,3,3,1,3,3,8,7,9,12,13,14,0,0
GP,F,17,U,GT3,A,4,3,services,services,course,yes,yes,mother,1,no,yes,no,yes,yes,5,2,2,1,2,5,13,13,13,15,14,17,0,0
GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no,mother,2,yes,yes,no,yes,no,4,1,4,1,1,1,6,5,6,10,13,13,0,0
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes,father,1,no,yes,no,yes,no,5,3,3,1,1,3,5,5,6,9,11,11,0,0
GP,F,17,U,GT3,T,1,1,at_home,other,reputation,yes,no,mother,1,no,yes,yes,yes,yes,4,3,4,1,1,5,6,5,0,12,12,12,1,0
GP,F,17,U,GT3,T,1,1,at_home,services,course,yes,yes,mother,1,no,no,yes,yes,no,5,3,3,1,1,3,8,8,9,12,11,12,0,0
GP,F,17,U,GT3,T,1,1,other,other,course,no,no,mother,1,no,yes,no,yes,no,4,4,4,1,3,1,9,9,10,14,15,15,0,0
GP,F,17,U,GT3,T,1,1,services,teacher,reputation,yes,yes,mother,1,no,yes,no,yes,no,4,3,3,1,1,3,13,12,12,13,13,14,0,0
GP,F,17,U,GT3,T,2,2,at_home,at_home,course,yes,yes,mother,1,no,yes,yes,yes,no,4,3,3,1,1,4,9,10,10,12,12,13,0,0
GP,F,17,U,GT3,T,2,2,other,other,course,no,yes,mother,1,no,yes,no,yes,no,5,4,5,1,2,5,10,9,11,12,12,14,0,0
GP,F,17,U,GT3,T,2,2,other,other,course,yes,no,mother,1,no,yes,no,yes,yes,4,2,2,1,1,3,11,9,9,14,13,13,0,0
GP,F,17,U,GT3,T,2,3,at_home,other,home,yes,no,father,2,no,yes,no,yes,no,3,3,3,1,4,3,7,7,8,12,13,13,0,0
GP,F,17,U,GT3,T,2,4,at_home,health,reputation,yes,yes,mother,2,no,yes,no,yes,yes,4,3,3,1,1,1,10,10,10,15,16,16,0,0
GP,F,17,U,GT3,T,2,4,services,services,reputation,yes,no,father,1,no,yes,yes,yes,no,5,4,2,2,3,5,16,17,17,17,18,17,0,0
GP,F,17,U,GT3,T,3,1,services,services,course,no,yes,father,1,no,yes,no,yes,no,3,4,3,2,3,5,12,14,15,17,18,17,0,0
GP,F,17,U,GT3,T,3,2,health,health,reputation,no,yes,father,1,no,yes,yes,yes,no,5,2,2,1,2,5,17,17,18,18,18,18,0,0
GP,F,17,U,GT3,T,3,2,other,other,course,no,yes,mother,1,no,no,yes,yes,no,5,3,4,1,3,3,16,15,15,17,18,17,0,0
GP,F,17,U,GT3,T,3,2,other,other,home,yes,yes,mother,1,no,yes,no,yes,yes,4,3,2,2,3,2,7,8,0,12,13,15,1,0
GP,F,17,U,GT3,T,3,3,other,other,home,no,no,mother,1,no,no,yes,yes,no,3,2,3,1,1,4,10,9,9,15,12,13,0,0
GP,F,17,U,GT3,T,3,4,at_home,services,home,yes,yes,mother,1,no,yes,no,yes,yes,4,4,3,3,4,5,10,9,9,8,9,8,0,0
GP,F,17,U,GT3,T,3,4,services,other,course,yes,yes,mother,1,no,no,no,yes,no,4,4,5,1,3,5,16,15,15,11,13,14,0,0
GP,F,17,U,GT3,T,4,2,other,other,reputation,yes,yes,mother,2,no,yes,no,yes,no,4,3,3,1,1,3,15,12,14,16,16,16,0,0
GP,F,17,U,GT3,T,4,3,health,other,reputation,yes,yes,mother,1,no,yes,yes,yes,yes,4,4,3,1,3,4,13,15,15,11,12,13,0,0
GP,F,17,U,GT3,T,4,3,health,services,reputation,yes,yes,mother,1,no,yes,no,yes,no,4,2,2,1,2,3,15,15,15,17,18,18,0,0
GP,F,17,U,GT3,T,4,3,other,other,reputation,yes,yes,mother,1,no,no,no,yes,yes,3,4,5,2,4,1,6,6,4,11,9,10,0,0
GP,F,17,U,GT3,T,4,4,other,teacher,course,yes,no,mother,1,yes,yes,no,yes,yes,4,2,1,1,1,4,11,11,12,13,13,13,0,0
GP,F,17,U,GT3,T,4,4,services,teacher,home,yes,yes,mother,2,no,yes,no,yes,no,4,2,4,2,3,2,18,18,18,14,15,16,0,0
GP,F,17,U,GT3,T,4,4,teacher,services,course,yes,yes,mother,1,no,yes,yes,yes,no,5,4,4,1,3,4,10,9,9,13,12,13,0,0
GP,F,17,U,GT3,T,4,4,teacher,teacher,course,no,yes,mother,2,no,yes,no,yes,yes,4,3,3,1,2,4,14,14,14,15,14,15,0,0
GP,F,17,U,LE3,T,0,2,at_home,at_home,home,yes,yes,father,2,no,no,no,yes,no,3,3,3,2,3,2,16,15,15,14,14,15,0,0
GP,F,17,U,LE3,T,2,2,other,other,course,yes,yes,father,1,no,yes,no,yes,yes,3,4,4,1,3,5,10,13,12,13,12,12,0,0
GP,F,17,U,LE3,T,2,2,services,other,course,yes,yes,mother,2,yes,yes,no,yes,yes,4,4,4,2,3,5,12,12,12,12,12,12,0,0
GP,F,17,U,LE3,T,2,2,services,services,course,yes,yes,father,1,no,no,yes,yes,yes,3,4,1,1,1,2,10,9,0,10,11,12,1,0
GP,F,17,U,LE3,T,2,4,services,services,course,yes,yes,father,1,no,no,yes,yes,yes,4,3,2,1,1,5,14,15,15,14,15,16,0,0
GP,F,17,U,LE3,T,3,2,other,other,reputation,yes,yes,mother,2,no,no,no,yes,no,4,4,4,1,3,1,14,15,15,14,16,15,0,0
GP,F,17,U,LE3,T,3,3,other,other,reputation,yes,yes,mother,1,no,yes,yes,yes,yes,5,3,3,2,3,1,9,9,8,14,13,14,0,0
GP,F,17,U,LE3,T,4,2,teacher,services,reputation,yes,yes,mother,1,no,yes,yes,yes,no,4,2,3,1,1,4,14,12,13,14,15,17,0,0
GP,F,17,U,LE3,T,4,3,health,other,reputation,yes,yes,father,1,no,no,yes,yes,yes,3,2,3,1,2,3,13,13,14,14,12,12,0,0
GP,F,18,R,GT3,A,3,2,other,services,home,no,yes,mother,2,no,no,no,no,yes,4,1,1,1,1,5,10,9,9,12,9,10,0,0
GP,F,18,R,GT3,T,1,1,at_home,other,course,no,no,mother,3,no,yes,yes,yes,no,5,2,5,1,5,4,9,8,10,11,10,11,0,0
GP,F,18,R,GT3,T,2,1,other,other,reputation,yes,yes,mother,2,no,yes,no,no,yes,4,3,5,1,2,3,6,0,0,8,9,10,1,0
GP,F,18,R,GT3,T,2,2,at_home,other,course,yes,no,mother,2,no,no,yes,yes,no,4,4,4,1,1,4,10,9,0,14,13,14,1,0
GP,F,18,R,GT3,T,3,1,other,other,reputation,yes,yes,mother,1,no,no,yes,yes,yes,5,3,3,1,1,4,9,8,7,8,8,8,0,0
GP,F,18,R,GT3,T,4,4,teacher,other,reputation,yes,yes,mother,2,no,no,yes,yes,no,4,3,4,2,2,4,12,10,11,10,11,12,0,0
GP,F,18,R,LE3,T,1,1,at_home,other,reputation,yes,no,mother,2,no,yes,yes,yes,no,5,2,2,1,1,3,12,12,12,17,17,18,0,0
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no,mother,2,yes,no,no,yes,no,4,3,4,1,1,3,5,6,6,0,11,11,0,1
GP,F,18,U,GT3,T,1,1,other,other,home,yes,yes,mother,2,yes,no,yes,yes,no,5,4,4,1,1,4,8,9,10,12,13,13,0,0
GP,F,18,U,GT3,T,2,1,other,other,course,no,yes,other,2,no,yes,no,yes,yes,4,4,4,1,1,3,7,0,0,12,10,11,1,0
GP,F,18,U,GT3,T,2,1,services,other,course,yes,yes,mother,2,no,yes,yes,yes,no,5,3,3,1,2,1,8,8,0,12,12,15,1,0
GP,F,18,U,GT3,T,2,2,at_home,at_home,other,yes,yes,mother,1,no,yes,no,yes,no,4,3,3,1,2,2,18,18,19,18,18,18,0,0
GP,F,18,U,GT3,T,2,2,at_home,services,home,yes,yes,mother,1,no,yes,yes,yes,yes,4,3,3,1,1,3,9,10,0,11,12,13,1,0
GP,F,18,U,GT3,T,2,3,at_home,other,course,yes,yes,mother,1,no,yes,no,yes,no,4,3,3,1,2,3,11,10,10,11,12,14,0,0
GP,F,18,U,GT3,T,2,3,other,services,reputation,yes,yes,father,1,no,yes,yes,yes,yes,4,5,5,1,3,2,15,14,14,16,16,16,0,0
GP,F,18,U,GT3,T,3,2,other,services,other,yes,yes,mother,1,no,no,no,yes,yes,5,4,3,2,3,1,13,13,14,14,16,17,0,0
GP,F,18,U,GT3,T,3,3,services,services,home,yes,yes,mother,1,no,no,yes,yes,no,5,3,4,1,1,4,7,0,0,10,11,12,1,0
GP,F,18,U,GT3,T,4,3,other,other,course,yes,yes,mother,1,no,yes,yes,yes,yes,4,3,4,1,1,5,9,10,9,14,15,17,0,0
GP,F,18,U,GT3,T,4,3,other,other,reputation,yes,yes,father,1,no,yes,no,yes,no,4,3,3,1,1,3,14,13,14,16,17,17,0,0
GP,F,18,U,GT3,T,4,3,services,other,home,yes,yes,father,1,no,yes,no,yes,yes,3,1,2,1,3,2,17,18,18,15,15,15,0,0
GP,F,18,U,GT3,T,4,4,health,health,reputation,yes,yes,father,1,yes,yes,yes,yes,yes,2,4,4,1,1,4,9,8,8,14,12,13,0,0
GP,F,18,U,GT3,T,4,4,teacher,other,course,yes,yes,mother,1,no,yes,no,yes,no,4,4,4,3,3,5,11,11,11,12,11,13,0,0
GP,F,18,U,LE3,A,4,4,health,other,home,yes,yes,mother,1,no,yes,no,yes,yes,4,2,4,1,1,4,12,10,11,14,15,15,0,0
GP,F,18,U,LE3,T,1,1,other,other,home,no,no,mother,2,no,yes,no,yes,no,4,4,3,1,1,3,11,11,11,13,13,13,0,0
GP,F,18,U,LE3,T,2,2,other,other,home,no,yes,other,1,no,no,yes,yes,yes,4,3,3,1,1,2,8,8,0,10,9,12,1,0
GP,F,18,U,LE3,T,3,3,services,services,home,yes,yes,mother,1,no,yes,no,yes,no,5,3,3,1,1,1,16,15,17,14,14,15,0,0
GP,F,18,U,LE3,T,4,3,other,other,home,yes,yes,other,2,no,yes,no,yes,yes,4,4,5,1,2,2,10,8,8,13,14,14,0,0
GP,F,19,U,GT3,T,0,1,at_home,other,course,no,no,other,1,no,yes,no,no,no,3,4,2,1,1,5,7,8,9,9,10,11,0,0
GP,F,19,U,GT3,T,3,3,other,other,reputation,yes,yes,other,1,no,yes,yes,yes,no,4,3,3,1,2,3,8,8,8,12,12,12,0,0
GP,F,19,U,GT3,T,3,3,other,services,home,yes,yes,other,1,no,yes,yes,yes,no,4,3,5,3,3,5,9,9,9,11,12,12,0,0
GP,F,19,U,GT3,T,4,4,health,other,reputation,yes,yes,other,2,no,yes,yes,yes,no,2,3,4,2,3,2,10,9,0,14,13,13,1,0
GP,M,15,R,GT3,T,2,1,health,services,reputation,yes,yes,mother,1,no,no,yes,yes,yes,5,4,2,1,1,5,9,9,9,10,9,10,0,0
GP,M,15,R,GT3,T,2,3,at_home,services,course,yes,no,mother,1,yes,no,yes,yes,no,4,4,4,1,1,1,11,8,8,7,8,8,0,0
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,yes,no,mother,4,no,yes,no,yes,yes,5,3,3,1,1,5,9,0,0,12,11,11,1,0
